m_W,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-5.788399999999999,-0.738900000000001,-1.4860000000000042,-1.7613999999999947,-1.5577000000000112,-2.0382999999999925,-1.4313000000000073,-1.7578000000000031,0.6902000000000044,-0.5720999999999776,-0.45050000000000523,-0.3609000000000151,0.1628000000000327,-0.2915000000000134,-2.053500000000014,0.8826999999999998,-1.167999999999978,1.6254999999999882,-1.7396999999999991,1.5962000000000103,-0.7164000000000215,1.072400000000016,-1.459600000000023,1.5486999999999966
2,-0.915300000000002,0.16680000000000206,-1.3409000000000049,0.6791999999999945,-1.526299999999992,1.21159999999999,-0.7886999999999915,0.6437999999999988,-0.9592999999999847,0.386099999999999,-0.7447999999999979,-0.7959999999999923,0.06559999999998922,-0.1932999999999936,-1.1242000000000019,1.9726,-0.9091999999999985,-0.512299999999982,-0.21580000000000155,-1.1481999999999744,-1.2312000000000012,-0.8747999999999934,-0.6784000000000106,-0.9916999999999803
3,-0.5366,0.8276000000000039,-0.8337000000000074,-0.1379000000000019,-0.030400000000000205,-0.5291999999999888,0.18070000000000164,-0.8762000000000114,-0.08639999999999759,-0.08599999999998431,-0.021399999999999864,1.7801999999999794,-1.6965999999999894,0.5543999999999869,0.004099999999993997,-0.9190000000000111,-0.023300000000006094,-0.7196999999999889,-0.6863999999999919,-0.49569999999999936,1.0126000000000204,0.7432000000000016,-1.85450000000003,0.5523000000000025
4,-0.3170000000000073,0.12570000000000903,-0.40919999999999845,0.6621999999999986,-0.6393999999999949,0.32389999999998054,-1.0985000000000014,1.3135000000000048,0.05570000000000164,-1.2357000000000085,-0.02790000000001669,0.027000000000015234,-0.02390000000002601,0.2418999999999869,-1.777400000000057,1.0214000000000283,-1.1116999999999848,0.675899999999956,1.0916999999999462,-1.287399999999991,-0.8497000000000412,-1.442799999999977,0.2962999999999738,-0.5955999999999904
5,0.30859999999999843,-1.8004999999999995,0.4158999999999935,-1.3017999999999859,-3.07589999999999,-0.8257999999999868,1.0520999999999958,-1.1753999999999962,-1.8415000000000248,-2.956400000000002,-0.6947000000000116,-0.8405999999999949,-0.9069999999999823,-1.1895000000000095,-1.2782000000000266,-0.761099999999999,0.7370999999999981,-0.0694000000000301,-1.3430999999999926,-2.061399999999992,-0.17480000000000473,1.189799999999991,-0.33209999999996853,-8.425700000000006
6,-1.443399999999997,2.3282999999999845,-1.544099999999986,0.8607999999999834,-0.5866000000000042,0.9180999999999813,-0.7650999999999897,0.03489999999999327,-0.010300000000000864,-0.14090000000001623,-0.37789999999995416,-0.26559999999994943,-0.18559999999996535,0.19650000000001455,-0.4621999999999957,-0.9494000000000256,0.6795999999999935,0.12049999999999272,-1.4051000000000045,-0.15360000000003993,-0.28340000000002874,-0.07759999999996126,-5.604400000000055,6.8577999999999975
7,0.11519999999998731,-1.6947999999999865,1.3899999999999864,-0.9997999999999934,0.3452000000000055,-0.22400000000001796,0.05310000000000059,-0.3428000000000111,0.5869999999999891,-1.54159999999996,-0.8267000000000166,0.523399999999981,0.19690000000002783,-1.829400000000021,-1.2726999999999862,1.2226,-1.1745000000000232,0.10650000000003956,-3.147699999999986,2.8296999999999457,-2.515299999999968,-1.611099999999965,0.5526999999999589,2.761699999999962
8,-0.5062000000000069,0.9113000000000113,-1.241199999999992,0.6928000000000054,-1.0067999999999984,-0.3072999999999979,-0.41420000000002233,0.3228000000000293,-2.480200000000025,2.2642999999999915,-0.3956999999999766,-0.6516000000000304,1.1850000000000023,-0.011199999999973898,-1.0020000000000664,-0.023899999999969168,0.5516000000000645,-0.9484000000000492,0.8691000000000031,-2.2432999999999765,0.8664999999999736,-2.4721999999999866,1.6849000000000274,-2.490799999999979
9,0.46709999999998786,-0.7590000000000146,0.6119999999999948,-0.7461999999999875,0.2878999999999792,0.17509999999998627,-0.20559999999994716,-1.1646000000000072,1.523999999999944,-1.12439999999998,-0.4107999999999379,-0.9776999999999703,-0.5538999999999987,0.45270000000004984,0.024400000000014188,-0.7586999999999762,-0.12459999999998672,0.6981000000000108,-2.063000000000045,2.199099999999987,-3.3722000000000207,3.4519999999999413,-2.960199999999986,-1.1877999999999815
10,-0.6144999999999925,-0.5169999999999959,-0.9987999999999886,0.5017999999999745,-0.8692999999999529,-0.7167999999999779,-0.5797000000000025,-1.3285999999999945,-1.6270999999999844,-0.12849999999997408,-0.45940000000001646,1.290300000000002,-1.8059999999999832,-0.40300000000002,0.41060000000004493,-0.8654000000000224,1.3152999999999793,-0.8227000000000544,0.9221000000000572,-2.9010000000000105,4.088999999999999,-4.24430000000001,1.9469000000000278,-0.7826999999999771
