cluster,site_id,E_total_eV,E_ads_NH3_eV,d_N_W_min_A,d_N_H_mean_A,angle_HNH_mean_deg
W_17_B_17,2,-309.71629,-1.477297,2.276297,1.024984,107.49032
W_17_B_17,3,-309.90679,-1.667797,2.246064,1.024619,107.924509
W_17_B_17,4,-309.33055,-1.091557,2.267828,1.021841,108.941567
W_17_B_17,5,-309.82538,-1.586387,2.254177,1.023936,108.21029
W_17_B_17,6,-309.52741,-1.288417,2.301035,1.023292,107.872766
W_17_B_17,7,-309.48018,-1.241187,2.282019,1.023108,108.455497
W_17_B_17,8,-309.87752,-1.638527,2.249546,1.024588,107.833058
W_17_B_17,9,-309.88518,-1.646187,2.245106,1.024634,108.158245
W_17_B_17,10,-309.81441,-1.575417,2.264512,1.025737,107.727399
W_17_B_17,11,-309.46,-1.221007,2.260392,1.022443,108.768916
W_17_B_17,12,-309.78461,-1.545617,2.273867,1.02414,107.706683
W_17_B_17,13,-309.72327,-1.484277,2.265664,1.025119,107.904948
W_17_B_17,14,-309.67512,-1.436127,2.270696,1.025011,107.925565
W_18_B_09,0,-266.06042,-1.433157,2.269692,1.024262,107.762114
W_18_B_09,1,-266.30211,-1.674847,2.247267,1.025006,107.881465
W_18_B_09,2,-266.13795,-1.510687,2.278069,1.025162,107.633894
W_18_B_09,3,-266.19043,-1.563167,2.247084,1.025212,107.920358
W_18_B_09,4,-266.04875,-1.421487,2.253661,1.025232,108.041547
W_18_B_09,5,-266.27265,-1.645387,2.24805,1.024477,107.944289
W_18_B_09,6,-266.28522,-1.657957,2.242312,1.025351,107.824161
W_18_B_09,7,-266.02611,-1.398847,2.26681,1.024464,107.97336
W_18_B_09,8,-266.12305,-1.495787,2.265321,1.022885,108.36416
W_18_B_09,9,-266.06605,-1.438787,2.257616,1.02294,108.263618
W_18_B_09,10,-266.05005,-1.422787,2.275414,1.024486,107.939743
W_18_B_09,11,-266.24788,-1.620617,2.254198,1.025983,107.801398
W_18_B_09,12,-266.18743,-1.560167,2.276364,1.024628,107.578227
W_18_B_09,13,-266.11198,-1.484717,2.25377,1.023371,108.386403
W_18_B_09,14,-266.05103,-1.423767,2.269677,1.023246,108.115854
W_18_B_09,15,-265.85122,-1.223957,2.270503,1.024378,108.134901
