cluster,site_label,anchor_element,E_ads_NH3_eV,d_NH3_host_A
W_10_B_21,B13,B,-1.016148,1.646633
W_10_B_21,B14,B,-0.835797,1.646453
W_10_B_21,B15,B,-0.555639,1.665776
W_10_B_21,B16,B,-0.797309,1.646726
W_10_B_21,B17,B,-0.727239,1.656513
W_10_B_21,B18,B,-0.906744,1.644804
W_10_B_21,B19,B,-0.118435,1.692632
W_10_B_21,B20,B,-0.883418,1.646693
W_10_B_21,B21,B,-0.76865,1.660913
W_10_B_21,W2,W,-1.289807,2.308942
W_10_B_21,W3,W,-1.411017,2.274233
W_10_B_21,W4,W,-1.212197,2.286962
W_10_B_21,W5,W,-1.615497,2.240102
W_10_B_21,W6,W,-1.668847,2.257139
W_10_B_21,W7,W,-1.216197,2.335963
W_10_B_21,W8,W,-1.270057,2.255603
W_10_B_21,W9,W,-1.549187,2.233047
W_11_B_22,B1,B,-0.90849,1.641849
W_11_B_22,B2,B,-0.790511,1.653254
W_11_B_22,B11,B,-0.507329,1.673375
W_11_B_22,B12,B,-0.447557,1.670021
W_11_B_22,B21,B,-0.918275,1.635371
W_11_B_22,W1,W,-1.458747,2.271441
W_11_B_22,W2,W,-1.570327,2.269816
W_14_B_19,B1,B,-0.473644,1.670229
W_14_B_19,B2,B,-0.613912,1.64841
W_14_B_19,B3,B,-0.595568,1.662172
W_14_B_19,B4,B,-0.712072,1.639176
W_14_B_19,B5,B,-0.599657,1.66035
W_14_B_19,B6,B,-0.606314,1.648131
W_14_B_19,B13,B,-0.558064,1.669207
W_14_B_19,B15,B,-0.557531,1.670365
W_14_B_19,B16,B,-0.480991,1.660454
W_14_B_19,B17,B,-0.586,1.641889
W_14_B_19,B18,B,-0.481956,1.659003
W_14_B_19,B19,B,-0.284164,1.666453
W_14_B_19,W2,W,-1.590587,2.26402
W_14_B_19,W4,W,-1.774747,2.242983
W_14_B_19,W5,W,-1.776207,2.236587
W_14_B_19,W6,W,-1.712537,2.242292
W_16_B_19,B1,B,-0.056522,1.693455
W_16_B_19,B2,B,-0.002511,1.709678
W_16_B_19,B3,B,0.021122,1.717157
W_16_B_19,B4,B,-0.00565,1.707705
W_16_B_19,B5,B,-0.057157,1.696489
W_16_B_19,B6,B,-0.141887,1.690618
W_16_B_19,B7,B,-0.471951,1.655212
W_16_B_19,B8,B,-0.450126,1.658361
W_16_B_19,B9,B,-0.537834,1.665252
W_16_B_19,B16,B,-0.536229,1.663506
W_16_B_19,B17,B,-0.374507,1.671665
W_16_B_19,B18,B,-0.47263,1.657216
W_16_B_19,W1,W,-1.591917,2.238407
W_16_B_19,W2,W,-1.669807,2.230454
W_16_B_19,W3,W,-1.669937,2.233515
W_16_B_19,W4,W,-1.592837,2.237898
W_16_B_19,W5,W,-1.604817,2.261525
W_16_B_19,W6,W,-1.603577,2.261119
W_16_B_19,W7,W,-1.761687,2.264896
W_17_B_02,B1,B,-0.132797,1.695002
W_17_B_02,W1,W,-1.095997,2.275555
W_17_B_02,W2,W,-1.380867,2.273371
W_17_B_02,W3,W,-1.359157,2.2655
W_17_B_02,W4,W,-1.382997,2.269263
W_17_B_02,W5,W,-1.501387,2.262057
W_17_B_02,W6,W,-1.440847,2.272484
W_17_B_02,W7,W,-1.232267,2.268851
W_17_B_02,W8,W,-1.309097,2.287591
W_17_B_02,W9,W,-1.018607,2.317632
W_17_B_02,W10,W,-1.197877,2.308384
W_17_B_02,W11,W,-1.360447,2.292881
W_17_B_14,B1,B,-0.323221,1.673824
W_17_B_14,B2,B,-0.495979,1.673629
W_17_B_14,B3,B,-0.451208,1.66716
W_17_B_14,B4,B,-0.259356,1.67726
W_17_B_14,B5,B,-0.220958,1.718871
W_17_B_14,B6,B,-0.404758,1.674541
W_17_B_14,B7,B,-0.387395,1.675692
W_17_B_14,B8,B,-0.387374,1.673993
W_17_B_14,B9,B,-0.369175,1.676934
W_17_B_14,B10,B,-0.537117,1.652052
W_17_B_14,B11,B,-0.192091,1.687135
W_17_B_14,B12,B,-0.190142,1.693317
W_17_B_14,B13,B,-0.23727,1.669741
W_17_B_14,B14,B,-0.564042,1.667969
W_17_B_14,W1,W,-1.454357,2.260633
W_17_B_14,W2,W,-1.570067,2.278823
W_17_B_14,W5,W,-1.677847,2.237999
W_17_B_14,W6,W,-1.541557,2.261537
W_17_B_14,W7,W,-1.467207,2.266202
W_17_B_14,W8,W,-1.541467,2.263542
W_17_B_14,W9,W,-1.489117,2.256694
W_17_B_14,W11,W,-1.433457,2.279595
W_17_B_14,W12,W,-1.591607,2.256771
W_17_B_14,W13,W,-1.578827,2.255446
W_17_B_14,W14,W,-1.419877,2.256348
W_17_B_14,W15,W,-1.510827,2.277721
W_17_B_17,B1,B,-0.385707,1.682573
W_17_B_17,B2,B,-0.420374,1.675653
W_17_B_17,B3,B,-0.310479,1.683764
W_17_B_17,B4,B,0.041298,1.695906
W_17_B_17,B5,B,-0.4524,1.678197
W_17_B_17,B6,B,-0.412892,1.683752
W_17_B_17,B7,B,-0.153745,1.703104
W_17_B_17,B8,B,-0.516584,1.665974
W_17_B_17,B9,B,-0.823863,1.636001
W_17_B_17,B10,B,-0.278215,1.682503
W_17_B_17,B11,B,-0.915665,1.628277
W_17_B_17,B12,B,-0.355807,1.671544
W_17_B_17,B13,B,-0.933136,1.632529
W_17_B_17,B14,B,-0.40719,1.671076
W_17_B_17,B15,B,-0.934215,1.63198
W_17_B_17,B16,B,-0.158605,1.668177
W_17_B_17,B17,B,-0.998731,1.635384
W_17_B_17,W1,W,-1.458317,2.276082
W_17_B_17,W2,W,-1.030317,2.298901
W_17_B_17,W3,W,-1.477297,2.276297
W_17_B_17,W4,W,-1.667797,2.246064
W_17_B_17,W5,W,-1.091557,2.267828
W_17_B_17,W6,W,-1.586387,2.254177
W_17_B_17,W7,W,-1.288417,2.301035
W_17_B_17,W8,W,-1.241187,2.282019
W_17_B_17,W9,W,-1.638527,2.249546
W_17_B_17,W10,W,-1.646187,2.245106
W_17_B_17,W11,W,-1.575417,2.264512
W_17_B_17,W12,W,-1.221007,2.260392
W_17_B_17,W13,W,-1.545617,2.273867
W_17_B_17,W14,W,-1.484277,2.265664
W_17_B_17,W15,W,-1.436127,2.270696
W_18_B_09,B1,B,-0.471769,1.662903
W_18_B_09,B2,B,-0.357029,1.679978
W_18_B_09,B3,B,-0.419247,1.672794
W_18_B_09,B4,B,-0.550245,1.665468
W_18_B_09,B5,B,-0.30034,1.681666
W_18_B_09,B6,B,-0.375343,1.680506
W_18_B_09,B7,B,-0.264768,1.684672
W_18_B_09,B8,B,-0.358969,1.684686
W_18_B_09,B9,B,-0.312629,1.690587
W_18_B_09,W1,W,-1.433157,2.269692
W_18_B_09,W2,W,-1.674847,2.247267
W_18_B_09,W3,W,-1.510687,2.278069
W_18_B_09,W4,W,-1.563167,2.247084
W_18_B_09,W5,W,-1.421487,2.253661
W_18_B_09,W6,W,-1.645387,2.24805
W_18_B_09,W7,W,-1.657957,2.242312
W_18_B_09,W8,W,-1.398847,2.26681
W_18_B_09,W9,W,-1.495787,2.265321
W_18_B_09,W10,W,-1.438787,2.257616
W_18_B_09,W11,W,-1.422787,2.275414
W_18_B_09,W12,W,-1.620617,2.254198
W_18_B_09,W13,W,-1.560167,2.276364
W_18_B_09,W14,W,-1.484717,2.25377
W_18_B_09,W15,W,-1.423767,2.269677
W_18_B_09,W16,W,-1.223957,2.270503
