Cluster,W,B,Structure_ID,Pathway_ID,N_images,TS_image,E_IS (eV),E_FS (eV),E_TS (eV),E_act_fwd (eV),E_act_rev (eV),Delta_E (eV),Transferred_H,Initial_NH3_W_anchor,Final_H_anchor,Final_anchor_element,Final_anchor_rank_initial_excluding_binding_W,Transferred_H_is_closest_H_to_final_anchor_initially,d_H_anchor_initial (A),d_H_anchor_final (A),d_bindingW_anchor_initial (A),Trajectory_file
W_09_B_20,9,20,4,0,10,3,-239.145000,-239.458709,-237.585879,1.559121,1.872830,-0.313709,H2,W5,B1,B,2,yes,3.532672,1.220635,2.208427,W_09_B_20_4_0_movie_contcar.xyz
W_09_B_20,9,20,4,1,10,4,-239.145000,-239.213846,-237.662997,1.482003,1.550849,-0.068846,H3,W5,B18,B,1,yes,3.809801,1.220862,2.214302,W_09_B_20_4_1_movie_contcar.xyz
W_09_B_20,9,20,4,2,10,4,-239.145000,-239.859639,-237.699878,1.445122,2.159761,-0.714639,H3,W5,B15,B,2,yes,3.824138,1.213425,2.225011,W_09_B_20_4_2_movie_contcar.xyz
W_09_B_20,9,20,5,0,10,4,-239.057000,-239.358403,-237.316815,1.740185,2.041589,-0.301403,H2,W6,B10,B,4,no,4.145663,1.212569,2.253745,W_09_B_20_5_0_movie_contcar.xyz
W_09_B_20,9,20,7,0,10,2,-238.866000,-239.581818,-237.928749,0.937251,1.653068,-0.715818,H2,W8,B15,B,1,yes,4.127602,1.218798,2.180726,W_09_B_20_7_0_movie_contcar.xyz
W_09_B_22,9,22,0,0,10,4,-252.387000,-252.692494,-251.275227,1.111773,1.417268,-0.305494,H3,W1,B21,B,2,yes,3.380661,1.210737,2.192995,W_09_B_22_0_0_movie_contcar.xyz
W_09_B_22,9,22,3,0,10,4,-252.384000,-253.071656,-251.170351,1.213649,1.901305,-0.687656,H3,W4,B4,B,2,no,3.802198,1.205355,2.140293,W_09_B_22_3_0_movie_contcar.xyz
W_09_B_22,9,22,4,0,10,3,-252.428000,-253.522887,-251.502594,0.925406,2.020293,-1.094887,H2,W6,B11,B,1,yes,3.572121,1.219206,2.116157,W_09_B_22_4_0_movie_contcar.xyz
W_09_B_22,9,22,5,0,10,4,-252.297000,-252.782459,-250.692620,1.604380,2.089839,-0.485459,H1,W7,B22,B,1,yes,3.795048,1.215904,2.183006,W_09_B_22_5_0_movie_contcar.xyz
W_10_B_21,10,21,1,0,10,3,-257.271000,-257.800018,-255.923274,1.347726,1.876744,-0.529018,H1,W3,B19,B,3,yes,4.133749,1.279272,2.286315,W_10_B_21_1_0_movie_contcar.xyz
